,_id,question,school,selection
197,66fe50062c95bc8004bc1811,1,🇸🇰Slovakia,They use satellite images to create maps
198,66fe50092c95bc8004bc1812,1,🇸🇰Slovakia,They use satellite images to create maps
199,66fe500b2c95bc8004bc1813,1,🇸🇰Slovakia,They use satellite images to create maps
200,66fe500b2c95bc8004bc1814,1,🇸🇰Slovakia,They use satellite images to create maps
201,66fe500d2c95bc8004bc1815,1,🇸🇰Slovakia,They use satellite images to create maps
202,66fe500e2c95bc8004bc1816,1,🇸🇰Slovakia,They use satellite images to create maps
203,66fe500e2c95bc8004bc1817,1,🇸🇰Slovakia,They use satellite images to create maps
204,66fe50112c95bc8004bc1818,1,🇸🇰Slovakia,They use satellite images to create maps
205,66fe50122c95bc8004bc1819,1,🇪🇸Spain,They use satellite images to create maps
206,66fe50122c95bc8004bc181a,1,🇸🇰Slovakia,I don't know
207,66fe50122c95bc8004bc181b,1,🇸🇰Slovakia,They use satellite images to create maps
208,66fe50142c95bc8004bc181c,1,🇸🇰Slovakia,They use satellite images to create maps
209,66fe50152c95bc8004bc181d,1,🇮🇹Italy,They use commercial map like Google
210,66fe50152c95bc8004bc181e,1,🇸🇰Slovakia,They use satellite images to create maps
211,66fe50152c95bc8004bc181f,1,🇸🇰Slovakia,I don't know
212,66fe50162c95bc8004bc1820,1,🇸🇰Slovakia,They use satellite images to create maps
213,66fe50172c95bc8004bc1821,1,🇸🇰Slovakia,They use satellite images to create maps
214,66fe50182c95bc8004bc1822,1,🇸🇰Slovakia,They use satellite images to create maps
215,66fe50182c95bc8004bc1823,1,🇸🇰Slovakia,They use satellite images to create maps
216,66fe50192c95bc8004bc1824,1,🇮🇹Italy,They have to map on site
217,66fe501a2c95bc8004bc1825,1,🇪🇸Spain,They use satellite images to create maps
218,66fe501b2c95bc8004bc1826,1,🇮🇹Italy,They have to map on site
219,66fe501d2c95bc8004bc1827,1,🇮🇹Italy,They have to map on site
220,66fe501e2c95bc8004bc1828,1,🇮🇹Italy,They have to map on site
221,66fe50202c95bc8004bc1829,1,🇸🇰Slovakia,They use satellite images to create maps
222,66fe50212c95bc8004bc182a,1,🇮🇹Italy,They use commercial map like Google
223,66fe50222c95bc8004bc182b,1,🇮🇹Italy,They have to map on site
224,66fe50222c95bc8004bc182c,1,🇸🇰Slovakia,They use satellite images to create maps
225,66fe50222c95bc8004bc182d,1,🇮🇹Italy,They use satellite images to create maps
226,66fe50222c95bc8004bc182e,1,🇮🇹Italy,They use satellite images to create maps
227,66fe50232c95bc8004bc182f,1,🇸🇰Slovakia,They use satellite images to create maps
228,66fe50242c95bc8004bc1830,1,🇮🇹Italy,They use commercial map like Google
229,66fe502a2c95bc8004bc1831,1,🇸🇰Slovakia,They use satellite images to create maps
230,66fe502c2c95bc8004bc1832,1,🇸🇰Slovakia,They use satellite images to create maps
231,66fe502d2c95bc8004bc1833,1,🇮🇹Italy,They use satellite images to create maps
232,66fe502e2c95bc8004bc1834,1,🇮🇹Italy,They use satellite images to create maps
233,66fe502f2c95bc8004bc1835,1,🇸🇰Slovakia,They use satellite images to create maps
234,66fe50302c95bc8004bc1836,1,🇮🇹Italy,They use satellite images to create maps
235,66fe50312c95bc8004bc1837,1,🇮🇹Italy,They use satellite images to create maps
236,66fe50312c95bc8004bc1838,1,🇸🇰Slovakia,They use satellite images to create maps
237,66fe50312c95bc8004bc1839,1,🇸🇰Slovakia,They use satellite images to create maps
238,66fe50312c95bc8004bc183a,1,🇮🇹Italy,They use satellite images to create maps
239,66fe50312c95bc8004bc183b,1,🇮🇹Italy,They use satellite images to create maps
240,66fe50322c95bc8004bc183c,1,🇮🇹Italy,They use satellite images to create maps
241,66fe50322c95bc8004bc183d,1,🇪🇸Spain,They use satellite images to create maps
242,66fe50332c95bc8004bc183e,1,🇸🇰Slovakia,They use satellite images to create maps
243,66fe50342c95bc8004bc183f,1,🇸🇰Slovakia,They use satellite images to create maps
244,66fe50352c95bc8004bc1840,1,🇪🇸Spain,They use satellite images to create maps
245,66fe50352c95bc8004bc1841,1,🇪🇸Spain,They use satellite images to create maps
246,66fe50362c95bc8004bc1842,1,🇮🇹Italy,They use satellite images to create maps
247,66fe50362c95bc8004bc1843,1,🇮🇹Italy,They use satellite images to create maps
248,66fe50362c95bc8004bc1844,1,🇮🇹Italy,They use satellite images to create maps
249,66fe50372c95bc8004bc1845,1,🇮🇹Italy,They use satellite images to create maps
250,66fe50372c95bc8004bc1846,1,🇸🇰Slovakia,They use satellite images to create maps
251,66fe50372c95bc8004bc1847,1,🇮🇹Italy,They use satellite images to create maps
252,66fe50382c95bc8004bc1848,1,🇮🇹Italy,They use satellite images to create maps
253,66fe50382c95bc8004bc1849,1,🇸🇰Slovakia,They use satellite images to create maps
254,66fe50382c95bc8004bc184a,1,🇪🇸Spain,They use satellite images to create maps
255,66fe50382c95bc8004bc184b,1,🇮🇹Italy,They use satellite images to create maps
256,66fe503a2c95bc8004bc184c,1,🇸🇰Slovakia,They use satellite images to create maps
257,66fe503a2c95bc8004bc184d,1,🇮🇹Italy,They use satellite images to create maps
258,66fe503b2c95bc8004bc184e,1,🇸🇰Slovakia,They use satellite images to create maps
259,66fe503b2c95bc8004bc184f,1,🇸🇰Slovakia,They use satellite images to create maps
260,66fe503b2c95bc8004bc1851,1,🇮🇹Italy,They use satellite images to create maps
261,66fe503b2c95bc8004bc1852,1,🇪🇸Spain,They use satellite images to create maps
262,66fe503b2c95bc8004bc1850,1,🇸🇰Slovakia,They use satellite images to create maps
263,66fe503b2c95bc8004bc1853,1,🇪🇸Spain,They use satellite images to create maps
264,66fe503c2c95bc8004bc1854,1,🇪🇸Spain,They use satellite images to create maps
265,66fe503c2c95bc8004bc1855,1,🇮🇹Italy,They use satellite images to create maps
266,66fe503c2c95bc8004bc1856,1,🇪🇸Spain,They use satellite images to create maps
267,66fe503d2c95bc8004bc1857,1,🇮🇹Italy,They use satellite images to create maps
268,66fe503d2c95bc8004bc1858,1,🇸🇰Slovakia,They use satellite images to create maps
269,66fe503e2c95bc8004bc1859,1,🇸🇰Slovakia,They use satellite images to create maps
270,66fe503e2c95bc8004bc185a,1,🇵🇹Portugal,I don't know
271,66fe503f2c95bc8004bc185b,1,🇸🇰Slovakia,They use satellite images to create maps
272,66fe503f2c95bc8004bc185c,1,🇵🇹Portugal,I don't know
273,66fe50402c95bc8004bc185d,0,🇵🇹Portugal,I don't know
274,66fe50422c95bc8004bc185e,1,🇸🇰Slovakia,They use satellite images to create maps
275,66fe50462c95bc8004bc185f,1,🇸🇰Slovakia,They use commercial map like Google
276,66fe50462c95bc8004bc1860,1,🇪🇸Spain,They use satellite images to create maps
277,66fe50462c95bc8004bc1861,1,🇮🇹Italy,They use satellite images to create maps
278,66fe50472c95bc8004bc1862,1,🇸🇰Slovakia,They use satellite images to create maps
279,66fe50492c95bc8004bc1863,1,🇸🇰Slovakia,They use satellite images to create maps
280,66fe50492c95bc8004bc1864,1,🇸🇰Slovakia,They use satellite images to create maps
281,66fe504b2c95bc8004bc1865,1,🇸🇰Slovakia,They use satellite images to create maps
282,66fe504d2c95bc8004bc1866,1,🇮🇹Italy,I don't know
283,66fe504d2c95bc8004bc1867,1,🇸🇰Slovakia,They use satellite images to create maps
284,66fe504d2c95bc8004bc1868,1,🇮🇹Italy,They use satellite images to create maps
285,66fe504e2c95bc8004bc1869,1,🇮🇹Italy,They use satellite images to create maps
286,66fe50502c95bc8004bc186a,1,🇸🇰Slovakia,They use satellite images to create maps
287,66fe50502c95bc8004bc186b,0,🇪🇸Spain,collect data for maps
288,66fe50502c95bc8004bc186c,1,🇪🇸Spain,They use satellite images to create maps
289,66fe50502c95bc8004bc186d,1,🇮🇹Italy,They use satellite images to create maps
290,66fe50512c95bc8004bc186e,1,🇪🇸Spain,I don't know
291,66fe50512c95bc8004bc186f,1,🇸🇰Slovakia,They use satellite images to create maps
292,66fe50532c95bc8004bc1870,1,🇸🇰Slovakia,They use satellite images to create maps
293,66fe50542c95bc8004bc1871,1,🇮🇹Italy,They use satellite images to create maps
294,66fe50592c95bc8004bc1872,1,🇸🇰Slovakia,They use satellite images to create maps
295,66fe505b2c95bc8004bc1873,1,🇷🇴Romania,They use commercial map like Google
296,66fe505f2c95bc8004bc1874,1,🇪🇸Spain,They use satellite images to create maps
297,66fe50602c95bc8004bc1875,1,🇸🇰Slovakia,They use satellite images to create maps
298,66fe50652c95bc8004bc1876,1,🇸🇰Slovakia,They use satellite images to create maps
299,66fe50692c95bc8004bc1877,1,🇸🇰Slovakia,They use satellite images to create maps
300,66fe506b2c95bc8004bc1878,1,🇸🇰Slovakia,They use satellite images to create maps
301,66fe506e2c95bc8004bc1879,1,🇪🇸Spain,They use satellite images to create maps
302,66fe50732c95bc8004bc187a,1,🇸🇰Slovakia,They use satellite images to create maps
303,66fe50752c95bc8004bc187b,1,🇸🇰Slovakia,They use satellite images to create maps
304,66fe50762c95bc8004bc187c,1,🇸🇰Slovakia,They use satellite images to create maps
305,66fe50772c95bc8004bc187d,1,🇮🇹Italy,I don't know
306,66fe50792c95bc8004bc187e,1,🇸🇰Slovakia,They use satellite images to create maps
307,66fe507c2c95bc8004bc187f,1,🇪🇸Spain,They use satellite images to create maps
308,66fe507f2c95bc8004bc1880,1,🇪🇸Spain,They use satellite images to create maps
309,66fe507f2c95bc8004bc1881,1,🇮🇹Italy,They use commercial map like Google
310,66fe50852c95bc8004bc1882,1,🇸🇰Slovakia,They use satellite images to create maps
311,66fe50862c95bc8004bc1883,1,🇮🇹Italy,They use commercial map like Google
312,66fe50872c95bc8004bc1884,1,🇸🇰Slovakia,They use commercial map like Google
313,66fe508a2c95bc8004bc1885,1,🇪🇸Spain,They use satellite images to create maps
314,66fe508b2c95bc8004bc1886,1,🇪🇸Spain,They use satellite images to create maps
315,66fe50912c95bc8004bc1887,1,🇪🇸Spain,They use satellite images to create maps
316,66fe50912c95bc8004bc1888,1,🇸🇰Slovakia,They use satellite images to create maps
317,66fe50942c95bc8004bc1889,1,🇸🇰Slovakia,They use satellite images to create maps
318,66fe509d2c95bc8004bc188a,1,🇸🇰Slovakia,They use satellite images to create maps
319,66fe509e2c95bc8004bc188b,1,🇪🇸Spain,They use satellite images to create maps
320,66fe50ac2c95bc8004bc188c,1,🇸🇰Slovakia,They use satellite images to create maps
321,66fe50c12c95bc8004bc188d,1,🇪🇸Spain,I don't know
322,66fe52a52c95bc8004bc188e,2,🇸🇰Slovakia,I don't know
323,66fe52af2c95bc8004bc188f,2,🇸🇰Slovakia,"Yes, I have already known"
324,66fe52b22c95bc8004bc1890,2,🇪🇸Spain,"Yes, but not clearly"
325,66fe52b72c95bc8004bc1891,2,🇪🇸Spain,"Yes, but not clearly"
326,66fe52b72c95bc8004bc1893,2,🇸🇰Slovakia,"Yes, I have already known"
327,66fe52b72c95bc8004bc1892,2,🇷🇴Romania,I don't know
328,66fe52b82c95bc8004bc1894,2,🇸🇰Slovakia,"Yes, I have already known"
329,66fe52b92c95bc8004bc1895,2,🇮🇹Italy,"Yes, I have already known"
330,66fe52ba2c95bc8004bc1896,2,🇸🇰Slovakia,"Yes, I have already known"
331,66fe52bb2c95bc8004bc1897,2,🇸🇰Slovakia,"Yes, I have already known"
332,66fe52bb2c95bc8004bc1898,2,🇮🇹Italy,"Yes, but not clearly"
